grid_id,cluster,lat,lon,S1,S2,S3,S4_pos,S4_neg,N1,N2,N3,N4,N5,performance_score,need_score,raw_equity,equity_score,top3_features
100_60,1,37.795623946111114,-122.44619652388889,2.302585092994046,-0.3472222222222222,1.0,1.0,0.0,0.03875730544447862,1.0015987210231814,112.0,0.00030764497769573913,0.15824842835945258,0.38679118229331455,-34.45158729164324,-0.011227093551484352,98.49543322453597,"N3, S1, N4"
100_74,0,37.79487124544084,-122.43078231074942,6.760414691083428,-0.0111689814814814,1.0,0.0,0.0,460.23435419440744,1.0026631158455392,50.998839907192576,0.00038087983241287375,0.48089591563100503,1.7702445044225565,250.03937208312013,0.007079862993553729,98.56231719100836,"N3, S1, N4"
100_80,1,37.795294162,-122.423148267,5.755742213586912,-8.083501157407408,2.0,0.6666666666666666,0.3333333333333333,3.657873701039169,1.0026631158455392,101.0,0.0005331911490269261,0.24124256443871667,4.170179816512923,-29.024141317601103,-0.14367970147884113,98.01152123370332,"N3, S1, N4"
100_83,1,37.7956678614,-122.4200089124,3.4339872044851463,-2.082744984567901,1.0,1.0,0.0,0.08085295424255887,2.502998800479958,118.5,0.0004704775346977182,0.36120732313150067,1.2313996822804487,-37.22707400359492,-0.033078068806578896,98.41560128235837,"N3, S1, N4"
100_85,1,37.79510205491333,-122.41813787099333,6.957497370876951,-3.4043479938271606,3.0,0.5714285714285714,0.2857142857142857,3.427657873701039,1.0015987210231814,116.66666666666667,0.0006151953245155337,0.48764195056943094,3.2217437185934084,-33.88801912398861,-0.09507029023667819,98.18911439200716,"N3, S1, N4"
100_89,1,37.795630694770836,-122.4132576625625,5.953243334287785,-0.6337181712962963,2.0,0.5,0.0,2.334132693844924,1.0023980815347722,112.0,0.0004704775346977182,0.4190585533628554,1.8946406423200388,-33.110982156801825,-0.057220915120204226,98.32739605177204,"N3, S1, N4"
100_90,1,37.79536276682558,-122.41203596972092,4.465908118654584,-0.2544444444444444,1.0,1.0,0.0,3.6884154460719043,1.0026631158455392,99.0,0.0006153846153846154,0.5419450630891105,0.8039240115663825,-28.3843273622438,-0.028322814545838383,98.43297447411533,"N3, S1, N4"
100_91,1,37.79543606350549,-122.41092592597802,4.5217885770490405,-0.0878009259259259,1.0,1.0,0.0,2.218732153055397,1.5026631157705392,113.97802197802197,0.0005331911490269261,0.4392298436135077,0.7570250716490082,-34.056294716387555,-0.022228639380236937,98.45523937688331,"N3, S1, N4"
100_95,1,37.79547813224324,-122.40632507087837,5.003946305945459,-0.2229166666666666,1.0,1.0,0.0,10.354194407456724,1.0026631158455392,115.0,0.0013324450366422385,0.10464449540804382,0.9047005265054312,-29.400728591322643,-0.030771365222010537,98.42402876099648,"N3, S1, N4"
101_60,0,37.79606339966667,-122.44619960333334,1.3862943611198906,-8.68306712962963,1.0,1.0,0.0,0.004362050163576881,1.0014540167211923,110.0,0.00015685044310250176,1.070381231720208,3.123368875195391,-33.81601887133837,-0.09236359192495819,98.1990032404723,"N3, S1, N4"
101_71,0,37.795895980043476,-122.43360210895652,3.8501476017100584,-2.9436574074074073,1.0,0.0,0.0,0.8707241226121724,2.001776988005331,99.0,0.00027582402427251415,0.4919137467102825,2.1949756780781415,-30.57642861170932,-0.07178653130941857,98.27418097025631,"N3, S1, N4"
101_80,1,37.796226962,-122.423424441,3.8918202981106265,-13.788680555555556,2.0,0.0,0.5,0.1644774414620217,1.0011422044545975,113.5,0.00038087983241287375,0.44923076928329464,6.067438553448805,-34.81706333099427,-0.17426624037857294,97.89977414798518,"N3, S1, N4"
101_81,1,37.795787019,-122.422579704,4.962844630259907,-0.9147627314814816,2.0,0.5,0.0,2.4207723035952062,1.0026631158455392,99.95774647887323,0.0004704775346977182,0.4915824916652496,1.7874431101906638,-29.40992690677117,-0.06077686546565333,98.31440448416235,"N3, S1, N4"
101_82,1,37.79611386008,-122.420948228,4.330733340286331,-1.8148746141975312,1.0,1.0,0.0,0.2637889688249401,1.0015987210231814,112.92,0.0004209640075773521,0.268777614153283,1.3237547450372742,-34.59406987533718,-0.03826536710115085,98.39664962950646,"N3, S1, N4"
101_83,0,37.79660597864516,-122.42018014203225,3.4657359027997265,-0.0035069444444444,1.0,0.0,0.0,0.1987435750999429,2.0021810250817884,114.0,0.0002580312217778351,0.40198237883470345,1.082657275482088,-35.51294815285536,-0.030486269439201942,98.42507035066387,"N3, S1, N4"
101_85,1,37.79635618524325,-122.4179859696126,5.407171771460119,-0.345324074074074,2.0,0.5,0.0,1.9728217426059154,1.0026631158455392,97.94594594594595,0.0003477656059815684,0.3564453125069618,1.6798565030692874,-29.066972519955062,-0.057792622183430155,98.32530733560806,"N3, S1, N4"
101_87,1,37.79633779245162,-122.41543304245161,5.231108616854587,-1.3007118055555555,1.0,1.0,0.0,1.1111111111111112,1.0017769880053309,97.0,0.00038087983241287375,0.35540408959860775,1.3303808888663315,-29.278101391591726,-0.04543945375801768,98.37043929955634,"N3, S1, N4"
101_88,1,37.79622760903572,-122.41452924410714,3.367295829986474,-0.2791666666666667,1.0,0.0,1.0,0.1736150770988007,1.0022844089091947,117.96428571428571,0.00027582402427251415,0.3557504873433041,0.5483874298224387,-36.16964487681557,-0.015161537992746187,98.48105883906946,"N3, S1, N4"
101_89,1,37.796108692278686,-122.41349634340983,4.127134385045092,-0.0939583333333333,1.0,0.0,0.0,0.422615648201028,1.0017769880053309,101.88524590163935,0.00031994880819068947,0.6893295561883348,1.2519097610917198,-31.137458901869515,-0.04020590778595816,98.38955991703669,"N3, S1, N4"
