grid_id,lat,lon,cluster,neighborhood_name,neighborhood_is_fallback,supervisor_district,supervisor_district_name,supervisor_name,district_is_fallback
101_71,37.795895980043476,-122.43360210895652,1,Pacific Heights,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
101_72,37.79651554426772,-122.43284592877953,3,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
101_73,37.79600756304808,-122.43106505478364,1,Pacific Heights,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
101_74,37.796309699,-122.430345048,1,Pacific Heights,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
101_75,37.79603530855556,-122.42932962176069,1,Pacific Heights,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
101_76,37.79614774657025,-122.4277496211157,1,Pacific Heights,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
101_78,37.79637956965143,-122.42607186665715,3,Pacific Heights,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
101_79,37.79642308677966,-122.42457650972881,3,Pacific Heights,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
101_80,37.796226962,-122.423424441,3,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
101_81,37.795787019,-122.422579704,3,Nob Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
101_82,37.79611386008,-122.420948228,3,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
101_83,37.79660597864516,-122.42018014203225,3,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
101_84,37.796302256175,-122.41928716341252,3,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
101_85,37.79635618524325,-122.4179859696126,3,Nob Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
101_86,37.79635675904367,-122.41677289162008,3,Nob Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
101_87,37.79633779245162,-122.41543304245161,3,Nob Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
101_88,37.79622760903572,-122.41452924410714,1,Nob Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
101_89,37.796108692278686,-122.41349634340983,1,Nob Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
101_90,37.7961357974369,-122.41185278978641,3,Nob Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
101_91,37.796164620300004,-122.41092848076667,3,Nob Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
101_92,37.79617329717168,-122.40991531990129,3,Chinatown,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
101_93,37.796166369813726,-122.40856698867645,3,Chinatown,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
101_94,37.79585035562922,-122.40796444583148,3,Chinatown,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
101_95,37.796252214985294,-122.40673749886028,3,Chinatown,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
101_96,37.796046809660716,-122.40523532765476,3,Chinatown,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
101_98,37.79599187146512,-122.40326685539536,1,Financial District,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
102_102,37.79675124654032,-122.39835363269366,1,Financial District,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
102_60,37.79686065638462,-122.44615574275,1,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
102_61,37.7971165338,-122.44512868080001,1,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
102_63,37.797129128,-122.443125584,1,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
102_64,37.79708995107407,-122.44172488225925,1,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
102_65,37.7969318625,-122.44048173725,1,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
102_67,37.79682965217647,-122.43799232379412,1,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
102_68,37.79733924563415,-122.43728027743902,3,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
102_69,37.79702172061538,-122.43632135415385,3,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
102_70,37.79717118635294,-122.43466376958823,1,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
102_71,37.796830154999995,-122.43376940225001,3,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
102_72,37.797337315125,-122.432795147625,3,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
102_73,37.796856555913045,-122.43126048186957,3,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
102_74,37.797244523,-122.43050577300001,1,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
102_75,37.79714000836842,-122.4292316908816,3,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
102_76,37.79713572513333,-122.4279108026,1,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
102_77,37.7967344716,-122.4270001298,3,Pacific Heights,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
102_78,37.79721258166666,-122.42605996119232,3,Pacific Heights,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
102_79,37.797301275989895,-122.42457186640404,3,Pacific Heights,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
102_80,37.79715769453731,-122.42366096729852,3,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
102_81,37.7969312835514,-122.42274722706541,3,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
102_82,37.79697224112903,-122.42113241884945,3,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
102_83,37.797115159,-122.419894322,3,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
102_84,37.79694366682258,-122.41869184759678,3,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
102_85,37.79747340363829,-122.41785806657448,1,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
102_86,37.79681119233784,-122.41688807036486,3,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
102_87,37.79681452392373,-122.41599875367797,1,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
102_88,37.796835188611105,-122.41478712722223,1,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
102_89,37.797205223508065,-122.41348182127419,1,Russian Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
102_90,37.79684210960606,-122.4119824425606,1,Nob Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
102_91,37.7970817392,-122.4110484723294,3,Nob Hill,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
102_92,37.797137682194176,-122.41009868705825,3,Chinatown,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
102_93,37.797231314267606,-122.40852932319719,3,Chinatown,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
102_94,37.796811897064224,-122.40800657730276,3,Chinatown,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
102_95,37.797089858848,-122.40622907770398,3,Chinatown,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
102_96,37.79671208558209,-122.40492077395523,3,Financial District,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
102_97,37.79725421910526,-122.4038364918421,0,Financial District,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
103_101,37.798259056,-122.399847895,0,Financial District,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
103_102,37.797995232,-122.398446081,0,Financial District,0,3,SUPERVISORIAL DISTRICT 3,Danny Sauter,0
103_59,37.797993751,-122.447161956,3,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
103_60,37.79761741537037,-122.44642272466666,1,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
103_61,37.79782002430612,-122.44496703042856,1,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
103_62,37.79834975594594,-122.44418968081081,1,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
103_63,37.79797840413223,-122.4432497727438,1,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
103_64,37.798248014925,-122.44163905999999,1,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
103_65,37.797867696,-122.440635765,1,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
103_66,37.79835867117722,-122.4399239060633,1,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
103_67,37.7977368932653,-122.43815309618367,3,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
103_68,37.7980444905,-122.4373732855,1,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
103_69,37.797925738176474,-122.4364906455294,3,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
103_70,37.79813835994118,-122.4348595357353,1,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
103_71,37.79825556490322,-122.43324954996775,3,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
103_72,37.797981323869564,-122.4322331006087,3,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
103_73,37.797608029,-122.43140957,1,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
103_74,37.798190965,-122.430584724,3,Marina,0,2,SUPERVISORIAL DISTRICT 2,Stephen Sherrill,0
