grid_id,cluster,lat,lon,S1,S2,S3,S4_pos,S4_neg,N1,N2,N3,N4,N5,performance_score,need_score,raw_equity,equity_score,top3_features
100_59,0,37.795166947,-122.44686809,3.8918202981106265,-8.57042319247439,17.0,0.41666666666666663,0.2499999999999999,0.001776988005330964,1.0017769880053309,103.0,0.00014544396771143918,0.17796196977084347,13.368351022701127,55.108089270667215,0.24258418241389862,46.11832575268441,"N3, S2, S4_neg"
100_60,1,37.795623946111114,-122.44619652388889,5.497168225293202,-7.387427662037036,11.0,0.2222222222222222,0.148148148148148,0.03875730544447862,1.0015987210231814,112.0,0.00030764497769573913,0.1582484283546499,10.465742847046455,59.85432458003363,0.17485357567102297,45.430266180177696,"S4_pos, S3, S1"
100_61,1,37.795353601,-122.445385356,6.665683717782408,-6.003722197726828,25.0,0.1887755102040815,0.0510204081632651,0.006855184233076264,2.4017137960582695,112.25,0.00017776197671318106,5.0694444444444455,20.05325606155084,60.29569390520531,0.33258188819413786,46.97671803440511,"S4_pos, S3, S1"
100_62,1,37.7949679204375,-122.44436715784376,7.526717561352706,-14.44954201185835,17.0,0.293103448275862,0.17241379310344812,1.0567545963229417,1.0015987210231814,113.0,0.0002962524070508073,0.4517326732673268,15.594220057637864,59.7967127937172,0.2607872417777637,46.29685503092775,"S4_pos, S3, S1"
100_64,1,37.794861816,-122.441739167,6.786716950605081,-6.970982218013468,20.0,0.1864406779661016,0.1525423728813556,0.23980815347721823,2.0026654820079965,120.0,0.0004209640075773521,0.2757839063090291,16.943560025345484,64.57076979248075,0.262402938936553,46.31257648584435,"S4_pos, S3, S1"
100_67,1,37.795282797,-122.43842862199999,8.501267040865978,-5.673612239092906,19.0,0.1626016260162601,0.1707317073170731,0.7818747223456242,1.0017769880053309,118.0,0.00021619284401686305,0.5097765363128491,17.33253314588688,62.58668494281816,0.27693642641060456,46.45309596693898,"S4_pos, S3, S1"
100_68,1,37.79519449746296,-122.43722446822221,9.142382678792956,-9.486436031243231,23.0,0.2774566473988437,0.2138728323699419,0.7881694644284573,1.0015987210231814,122.0,0.00031994880819068947,0.6073211314475874,20.334546072095097,64.68959539567372,0.31434028352440024,46.80751371582389,"S4_pos, S3, S1"
100_69,3,37.795175163,-122.43594809999999,7.259116128097101,-9.163183792941492,12.0,0.704225352112676,0.028169014084506998,0.14103962195565248,1.001314708299096,119.5,0.00027582402427251415,0.2996715927750411,12.423283741561066,63.752802739656055,0.19486646881121295,45.63761704904884,"S4_pos, S3, S1"
100_70,3,37.795683358,-122.435275855,7.685703061234547,-4.712414868380778,23.0,0.46875,0.0859375,0.14228617106314947,1.0015987210231814,125.0,0.0004209640075773521,0.4071388733965421,19.51405588884382,66.65165832370423,0.29277674534809034,46.604440755783585,"S4_pos, S3, S1"
100_71,3,37.795054727025644,-122.43355604256412,7.940583827104244,-5.275663390062598,13.0,0.4999999999999999,0.06944444444444431,0.46842525979216626,1.0022844089091947,117.0,0.0005331911490269261,0.36536536536536535,13.346478121621443,62.24438361959609,0.21442059718620204,45.83688715374245,"S4_pos, S3, S1"
100_72,1,37.795593886,-122.43265941400001,7.110696122978827,-0.7911730664488018,9.0,0.1944444444444443,0.0833333333333332,0.4860111910471623,1.0015987210231814,125.0,0.0005331911490269261,0.4585427135678392,10.130029100900742,66.45881561970941,0.15242566172772512,45.193654308525424,"S4_pos, S3, S1"
100_73,1,37.79548011173333,-122.43130718653333,7.528869256642251,-2.2510021617692075,17.0,0.21774193548387089,0.0725806451612902,0.07328447701532312,1.0015229392727965,126.0,0.00036357025995273584,0.16287371709058457,15.48450665427052,67.24605821235974,0.23026638044872208,45.99602710995383,"S4_pos, S3, S1"
100_74,1,37.79487124544084,-122.43078231074942,11.671918686457536,-9.582915274296852,23.0,0.3455882352941176,0.10294117647058801,460.23435419440744,1.0026631158455392,50.998839907192576,0.00038087983241287375,0.4808959156785244,21.929994191373144,-222.8729143989122,-0.0983968570111588,42.18054125966644,"S4_pos, S3, S1"
100_75,1,37.79495738259701,-122.42915815667163,7.7886260656250315,-14.59761043595679,11.0,0.33333333333333326,0.0,1.8035408338092518,1.0014540167211923,94.0,0.00031994880819068947,0.3301673450927183,11.997029746239063,49.34605964408915,0.24312031375246387,46.123621221350454,"S4_pos, S3, S1"
100_76,1,37.795301695823525,-122.42765831063237,9.98160533180008,-3.2188379704785954,25.0,0.4150943396226414,0.031446540880503,4.91719017704169,1.0013517319065053,97.0,0.0002962524070508073,0.39890710382513667,22.159696356212027,49.23216442102456,0.450106067175927,48.014255615826094,"S4_pos, S3, S1"
100_78,1,37.79546758547107,-122.42588784054544,10.094149233605084,-2.887721006944445,22.0,0.42000000000000004,0.06999999999999999,6.873389604620169,1.0014540167211923,97.0,0.00027582402427251415,0.31615417929839756,20.31785579294162,48.17715632634086,0.4217321427935898,47.771674902241955,"S4_pos, S3, S1"
100_79,1,37.795686071,-122.42424620700001,11.070708194329034,-5.000239111157177,24.0,0.33823529411764697,0.23529411764705868,52.16946442845723,1.0015987210231814,49.96190476190476,0.0004704775346977182,0.3945945945945946,22.134541978179573,-1.3782310283730739,-16.06012169413273,,"S4_pos, S3, S1"
100_80,3,37.795294162,-122.423148267,10.403383666209391,-8.137664255401234,28.0,0.4649681528662419,0.2070063694267514,3.657873701039169,1.0026631158455392,101.0,0.0005331911490269261,0.24124256444150693,24.34993546910859,52.05334141266962,0.46778812542077786,48.16303792442087,"S4_pos, S3, S1"
100_81,0,37.794868124,-122.422393955,8.513586695822125,-5.630598574605071,29.0,0.6177474402730374,0.0648464163822524,0.030208796090626388,1.0017769880053309,23.0,0.00020510716849553892,1.1736334405144693,23.902711376856754,12.631273272073603,1.8923436275707428,56.48989788548151,"N3, S2, S4_neg"
100_82,3,37.795087917711115,-122.42075015593335,11.688608367917064,-5.203530593723913,39.0,0.52321630804077,0.10872027180067928,5.8115362649914335,1.0011422044545975,111.99259259259259,0.00024239486122894195,0.6266094420600858,32.133751207764305,56.65630650568832,0.5671698813858997,48.96728961049413,"S4_pos, S3, S1"
100_83,3,37.7956678614,-122.4200089124,9.044403844431551,-4.9638279697380305,34.0,0.6741440377804013,0.07674144037780381,0.08085295424255887,2.502998800479808,118.5,0.0004704775346977182,0.3612073231073726,27.416533972414175,64.15555375686925,0.42734466370550145,47.82004055756744,"S4_pos, S3, S1"
100_84,3,37.795348124212765,-122.41941045421277,9.634038248345407,-12.174989590612627,30.0,0.5353846153846151,0.0676923076923075,1.5134865134865134,1.0026631158455392,118.0,0.0005331911490269261,0.42915931804820695,25.236179966669866,62.198153763820955,0.4057384027307044,47.63279504037436,"S4_pos, S3, S1"
100_85,3,37.79510205491333,-122.41813787099333,12.204326121244163,-1.96081524108814,33.0,0.8309541697971449,0.0345604808414723,3.427657873701039,1.0015987210231814,116.66666666666667,0.0006151953245155337,0.48764195056780213,28.765033339602788,60.44355393722854,0.4758990990764138,48.2306875078648,"S4_pos, S3, S1"
100_86,3,37.79524817956097,-122.41659170595123,11.239764121259313,-6.078935906981927,31.0,0.5646551724137931,0.11206896551724127,4.609853528628495,1.0026631158455392,116.0,0.0005331911490269261,0.35471331389698735,26.808592444642517,59.4630318450233,0.4508446872279949,48.020506816584415,"S4_pos, S3, S1"
100_87,3,37.79519997084874,-122.41571334138656,10.66246928901762,-4.781400332182465,22.0,0.4401114206128132,0.0501392757660165,1.7442046362909673,1.0022844089091947,116.0,0.0005331911490269261,0.4905913978494624,20.69220114010058,61.00673710572409,0.33917894617216204,47.03734087807362,"S4_pos, S3, S1"
100_88,3,37.79522056930808,-122.4143461786616,11.765247163561801,-4.370219063842448,29.0,0.4938461538461537,0.05692307692307679,5.828936850519584,1.0026631158455392,115.0,0.0004209640075773521,0.3041666666666667,25.82599556724074,58.27606506878812,0.443166419928829,47.95536696687506,"S4_pos, S3, S1"
